	ID	Window	GC_Content	Number of Reads
32762	NZ_CP009617.1	(3276200, 3276299)	42.0	0
32763	NZ_CP009617.1	(3276300, 3276399)	41.0	0
32764	NZ_CP009617.1	(3276400, 3276499)	43.0	0
32765	NZ_CP009617.1	(3276500, 3276599)	33.0	0
32766	NZ_CP009617.1	(3276600, 3276699)	41.0	0
32767	NZ_CP009617.1	(3276700, 3276799)	29.0	0
32768	NZ_CP009617.1	(3276800, 3276899)	39.0	0
32769	NZ_CP009617.1	(3276900, 3276999)	33.0	0
32770	NZ_CP009617.1	(3277000, 3277099)	39.0	0
32771	NZ_CP009617.1	(3277100, 3277199)	37.0	0
32772	NZ_CP009617.1	(3277200, 3277299)	44.0	0
32773	NZ_CP009617.1	(3277300, 3277399)	39.0	0
32774	NZ_CP009617.1	(3277400, 3277499)	33.0	0
32775	NZ_CP009617.1	(3277500, 3277599)	24.0	0
32776	NZ_CP009617.1	(3277600, 3277699)	30.0	0
32777	NZ_CP009617.1	(3277700, 3277799)	27.0	0
32778	NZ_CP009617.1	(3277800, 3277899)	27.0	0
32779	NZ_CP009617.1	(3277900, 3277999)	36.0	0
32780	NZ_CP009617.1	(3278000, 3278099)	35.0	0
32781	NZ_CP009617.1	(3278100, 3278199)	33.0	0
32782	NZ_CP009617.1	(3278200, 3278299)	36.0	0
32783	NZ_CP009617.1	(3278300, 3278399)	48.0	0
32784	NZ_CP009617.1	(3278400, 3278499)	45.0	0
32785	NZ_CP009617.1	(3278500, 3278599)	38.0	0
32786	NZ_CP009617.1	(3278600, 3278699)	36.0	0
32787	NZ_CP009617.1	(3278700, 3278799)	34.0	0
32788	NZ_CP009617.1	(3278800, 3278899)	50.0	0
32789	NZ_CP009617.1	(3278900, 3278999)	46.0	0
32790	NZ_CP009617.1	(3279000, 3279099)	44.0	0
32791	NZ_CP009617.1	(3279100, 3279199)	47.0	0
32792	NZ_CP009617.1	(3279200, 3279299)	40.0	0
32793	NZ_CP009617.1	(3279300, 3279399)	50.0	0
32794	NZ_CP009617.1	(3279400, 3279499)	36.0	0
32795	NZ_CP009617.1	(3279500, 3279599)	45.0	0
32796	NZ_CP009617.1	(3279600, 3279699)	42.0	0
32797	NZ_CP009617.1	(3279700, 3279799)	41.0	0
32798	NZ_CP009617.1	(3279800, 3279899)	39.0	0
32799	NZ_CP009617.1	(3279900, 3279999)	44.0	0
32800	NZ_CP009617.1	(3280000, 3280099)	41.0	0
32801	NZ_CP009617.1	(3280100, 3280199)	40.0	0
32802	NZ_CP009617.1	(3280200, 3280299)	38.0	0
32803	NZ_CP009617.1	(3280300, 3280399)	40.0	0
32804	NZ_CP009617.1	(3280400, 3280499)	30.0	0
32805	NZ_CP009617.1	(3280500, 3280599)	31.0	0
32806	NZ_CP009617.1	(3280600, 3280699)	37.0	0
32807	NZ_CP009617.1	(3280700, 3280799)	40.0	0
32808	NZ_CP009617.1	(3280800, 3280899)	23.0	0
32809	NZ_CP009617.1	(3280900, 3280999)	31.0	0
32810	NZ_CP009617.1	(3281000, 3281099)	20.0	0
32811	NZ_CP009617.1	(3281100, 3281199)	36.0	0
32812	NZ_CP009617.1	(3281200, 3281299)	39.0	0
32813	NZ_CP009617.1	(3281300, 3281399)	29.0	0
32814	NZ_CP009617.1	(3281400, 3281499)	30.0	0
32815	NZ_CP009617.1	(3281500, 3281599)	36.0	0
32816	NZ_CP009617.1	(3281600, 3281699)	36.0	0
32817	NZ_CP009617.1	(3281700, 3281799)	46.0	0
32818	NZ_CP009617.1	(3281800, 3281899)	44.0	0
32819	NZ_CP009617.1	(3281900, 3281999)	48.0	0
32820	NZ_CP009617.1	(3282000, 3282099)	40.0	0
32821	NZ_CP009617.1	(3282100, 3282199)	33.0	0
32822	NZ_CP009617.1	(3282200, 3282299)	34.0	0
32823	NZ_CP009617.1	(3282300, 3282399)	45.0	0
32824	NZ_CP009617.1	(3282400, 3282499)	38.0	0
32825	NZ_CP009617.1	(3282500, 3282599)	40.0	0
32826	NZ_CP009617.1	(3282600, 3282699)	47.0	0
32827	NZ_CP009617.1	(3282700, 3282799)	41.0	0
32828	NZ_CP009617.1	(3282800, 3282899)	42.0	0
32829	NZ_CP009617.1	(3282900, 3282999)	30.0	0
32830	NZ_CP009617.1	(3283000, 3283099)	44.0	0
32831	NZ_CP009617.1	(3283100, 3283199)	43.0	0
32832	NZ_CP009617.1	(3283200, 3283299)	40.0	0
32833	NZ_CP009617.1	(3283300, 3283399)	37.0	0
32834	NZ_CP009617.1	(3283400, 3283499)	46.0	0
32835	NZ_CP009617.1	(3283500, 3283599)	39.0	0
32836	NZ_CP009617.1	(3283600, 3283699)	42.0	0
32837	NZ_CP009617.1	(3283700, 3283799)	34.0	0
32838	NZ_CP009617.1	(3283800, 3283899)	43.0	0
32839	NZ_CP009617.1	(3283900, 3283999)	43.0	0
32840	NZ_CP009617.1	(3284000, 3284099)	43.0	0
32841	NZ_CP009617.1	(3284100, 3284199)	38.0	0
32842	NZ_CP009617.1	(3284200, 3284299)	39.0	0
32843	NZ_CP009617.1	(3284300, 3284399)	36.0	0
32844	NZ_CP009617.1	(3284400, 3284499)	42.0	0
32845	NZ_CP009617.1	(3284500, 3284599)	39.0	0
32846	NZ_CP009617.1	(3284600, 3284699)	45.0	0
32847	NZ_CP009617.1	(3284700, 3284799)	39.0	0
32848	NZ_CP009617.1	(3284800, 3284899)	39.0	0
32849	NZ_CP009617.1	(3284900, 3284999)	42.0	0
32850	NZ_CP009617.1	(3285000, 3285099)	38.0	0
32851	NZ_CP009617.1	(3285100, 3285199)	43.0	0
32852	NZ_CP009617.1	(3285200, 3285299)	47.0	0
32853	NZ_CP009617.1	(3285300, 3285399)	31.0	0
32854	NZ_CP009617.1	(3285400, 3285499)	38.0	0
32855	NZ_CP009617.1	(3285500, 3285599)	46.0	0
32856	NZ_CP009617.1	(3285600, 3285699)	40.0	0
32857	NZ_CP009617.1	(3285700, 3285799)	36.0	0
32858	NZ_CP009617.1	(3285800, 3285899)	38.0	0
32859	NZ_CP009617.1	(3285900, 3285999)	42.0	0
32860	NZ_CP009617.1	(3286000, 3286099)	41.0	0
32861	NZ_CP009617.1	(3286100, 3286199)	35.0	0
32862	NZ_CP009617.1	(3286200, 3286299)	42.0	0
32863	NZ_CP009617.1	(3286300, 3286399)	32.0	0
32864	NZ_CP009617.1	(3286400, 3286499)	33.0	0
32865	NZ_CP009617.1	(3286500, 3286599)	39.0	0
32866	NZ_CP009617.1	(3286600, 3286699)	34.0	0
32867	NZ_CP009617.1	(3286700, 3286799)	45.0	0
32868	NZ_CP009617.1	(3286800, 3286899)	34.0	60
32869	NZ_CP009617.1	(3286900, 3286999)	39.0	118
32870	NZ_CP009617.1	(3287000, 3287099)	43.0	92
32871	NZ_CP009617.1	(3287100, 3287199)	48.0	107
32872	NZ_CP009617.1	(3287200, 3287299)	39.0	94
32873	NZ_CP009617.1	(3287300, 3287399)	51.0	78
32874	NZ_CP009617.1	(3287400, 3287499)	46.0	105
32875	NZ_CP009617.1	(3287500, 3287599)	42.0	84
32876	NZ_CP009617.1	(3287600, 3287699)	42.0	69
32877	NZ_CP009617.1	(3287700, 3287799)	48.0	76
32878	NZ_CP009617.1	(3287800, 3287899)	42.0	86
32879	NZ_CP009617.1	(3287900, 3287999)	46.0	87
32880	NZ_CP009617.1	(3288000, 3288099)	47.0	82
32881	NZ_CP009617.1	(3288100, 3288199)	47.0	68
32882	NZ_CP009617.1	(3288200, 3288299)	50.0	57
32883	NZ_CP009617.1	(3288300, 3288399)	44.0	81
32884	NZ_CP009617.1	(3288400, 3288499)	49.0	88
32885	NZ_CP009617.1	(3288500, 3288599)	45.0	78
32886	NZ_CP009617.1	(3288600, 3288699)	44.0	81
32887	NZ_CP009617.1	(3288700, 3288799)	48.0	70
32888	NZ_CP009617.1	(3288800, 3288899)	51.0	79
32889	NZ_CP009617.1	(3288900, 3288999)	49.0	69
32890	NZ_CP009617.1	(3289000, 3289099)	51.0	77
32891	NZ_CP009617.1	(3289100, 3289199)	40.0	74
32892	NZ_CP009617.1	(3289200, 3289299)	45.0	94
32893	NZ_CP009617.1	(3289300, 3289399)	46.0	86
32894	NZ_CP009617.1	(3289400, 3289499)	41.0	87
32895	NZ_CP009617.1	(3289500, 3289599)	40.0	78
32896	NZ_CP009617.1	(3289600, 3289699)	53.0	75
32897	NZ_CP009617.1	(3289700, 3289799)	49.0	84
32898	NZ_CP009617.1	(3289800, 3289899)	52.0	84
32899	NZ_CP009617.1	(3289900, 3289999)	48.0	77
32900	NZ_CP009617.1	(3290000, 3290099)	42.0	96
32901	NZ_CP009617.1	(3290100, 3290199)	45.0	75
32902	NZ_CP009617.1	(3290200, 3290299)	44.0	68
32903	NZ_CP009617.1	(3290300, 3290399)	46.0	74
32904	NZ_CP009617.1	(3290400, 3290499)	46.0	96
32905	NZ_CP009617.1	(3290500, 3290599)	42.0	93
32906	NZ_CP009617.1	(3290600, 3290699)	41.0	89
32907	NZ_CP009617.1	(3290700, 3290799)	41.0	89
32908	NZ_CP009617.1	(3290800, 3290899)	49.0	110
32909	NZ_CP009617.1	(3290900, 3290999)	41.0	66
32910	NZ_CP009617.1	(3291000, 3291099)	48.0	75
32911	NZ_CP009617.1	(3291100, 3291199)	42.0	79
32912	NZ_CP009617.1	(3291200, 3291299)	44.0	70
32913	NZ_CP009617.1	(3291300, 3291399)	46.0	69
32914	NZ_CP009617.1	(3291400, 3291499)	48.0	60
32915	NZ_CP009617.1	(3291500, 3291599)	45.0	82
32916	NZ_CP009617.1	(3291600, 3291699)	50.0	65
32917	NZ_CP009617.1	(3291700, 3291799)	49.0	63
32918	NZ_CP009617.1	(3291800, 3291899)	46.0	60
32919	NZ_CP009617.1	(3291900, 3291999)	57.0	71
32920	NZ_CP009617.1	(3292000, 3292099)	40.0	78
32921	NZ_CP009617.1	(3292100, 3292199)	44.0	79
32922	NZ_CP009617.1	(3292200, 3292299)	49.0	68
32923	NZ_CP009617.1	(3292300, 3292399)	47.0	82
32924	NZ_CP009617.1	(3292400, 3292499)	44.0	88
32925	NZ_CP009617.1	(3292500, 3292599)	44.0	40
32926	NZ_CP009617.1	(3292600, 3292699)	43.0	132
32927	NZ_CP009617.1	(3292700, 3292799)	36.0	102
32928	NZ_CP009617.1	(3292800, 3292899)	42.0	103
32929	NZ_CP009617.1	(3292900, 3292999)	44.0	87
32930	NZ_CP009617.1	(3293000, 3293099)	47.0	90
32931	NZ_CP009617.1	(3293100, 3293199)	47.0	102
32932	NZ_CP009617.1	(3293200, 3293299)	38.0	76
32933	NZ_CP009617.1	(3293300, 3293399)	41.0	72
32934	NZ_CP009617.1	(3293400, 3293499)	42.0	81
32935	NZ_CP009617.1	(3293500, 3293599)	54.0	76
32936	NZ_CP009617.1	(3293600, 3293699)	47.0	83
32937	NZ_CP009617.1	(3293700, 3293799)	48.0	74
32938	NZ_CP009617.1	(3293800, 3293899)	50.0	74
32939	NZ_CP009617.1	(3293900, 3293999)	49.0	77
32940	NZ_CP009617.1	(3294000, 3294099)	50.0	62
32941	NZ_CP009617.1	(3294100, 3294199)	42.0	71
32942	NZ_CP009617.1	(3294200, 3294299)	41.0	68
32943	NZ_CP009617.1	(3294300, 3294399)	45.0	53
32944	NZ_CP009617.1	(3294400, 3294499)	49.0	69
32945	NZ_CP009617.1	(3294500, 3294599)	55.0	57
32946	NZ_CP009617.1	(3294600, 3294699)	54.0	73
32947	NZ_CP009617.1	(3294700, 3294799)	52.0	64
32948	NZ_CP009617.1	(3294800, 3294899)	49.0	76
32949	NZ_CP009617.1	(3294900, 3294999)	55.0	81
32950	NZ_CP009617.1	(3295000, 3295099)	54.0	70
32951	NZ_CP009617.1	(3295100, 3295199)	49.0	68
32952	NZ_CP009617.1	(3295200, 3295299)	46.0	74
32953	NZ_CP009617.1	(3295300, 3295399)	44.0	78
32954	NZ_CP009617.1	(3295400, 3295499)	40.0	77
32955	NZ_CP009617.1	(3295500, 3295599)	44.0	88
32956	NZ_CP009617.1	(3295600, 3295699)	47.0	78
32957	NZ_CP009617.1	(3295700, 3295799)	55.0	73
32958	NZ_CP009617.1	(3295800, 3295899)	45.0	88
32959	NZ_CP009617.1	(3295900, 3295999)	51.0	60
32960	NZ_CP009617.1	(3296000, 3296099)	45.0	82
32961	NZ_CP009617.1	(3296100, 3296199)	47.0	70
32962	NZ_CP009617.1	(3296200, 3296299)	40.0	64
32963	NZ_CP009617.1	(3296300, 3296399)	52.0	48
32964	NZ_CP009617.1	(3296400, 3296499)	48.0	77
32965	NZ_CP009617.1	(3296500, 3296599)	41.0	66
32966	NZ_CP009617.1	(3296600, 3296699)	50.0	66
32967	NZ_CP009617.1	(3296700, 3296799)	53.0	91
32968	NZ_CP009617.1	(3296800, 3296899)	48.0	68
32969	NZ_CP009617.1	(3296900, 3296999)	46.0	81
32970	NZ_CP009617.1	(3297000, 3297099)	41.0	103
32971	NZ_CP009617.1	(3297100, 3297199)	48.0	75
32972	NZ_CP009617.1	(3297200, 3297299)	43.0	88
32973	NZ_CP009617.1	(3297300, 3297399)	47.0	66
32974	NZ_CP009617.1	(3297400, 3297499)	45.0	87
32975	NZ_CP009617.1	(3297500, 3297599)	49.0	75
32976	NZ_CP009617.1	(3297600, 3297699)	52.0	82
32977	NZ_CP009617.1	(3297700, 3297799)	54.0	67
32978	NZ_CP009617.1	(3297800, 3297899)	48.0	58
32979	NZ_CP009617.1	(3297900, 3297999)	44.0	93
32980	NZ_CP009617.1	(3298000, 3298099)	52.0	90
32981	NZ_CP009617.1	(3298100, 3298199)	42.0	75
32982	NZ_CP009617.1	(3298200, 3298299)	42.0	60
32983	NZ_CP009617.1	(3298300, 3298399)	47.0	97
32984	NZ_CP009617.1	(3298400, 3298499)	49.0	62
32985	NZ_CP009617.1	(3298500, 3298599)	50.0	79
32986	NZ_CP009617.1	(3298600, 3298699)	56.0	78
32987	NZ_CP009617.1	(3298700, 3298799)	49.0	72
32988	NZ_CP009617.1	(3298800, 3298899)	43.0	97
32989	NZ_CP009617.1	(3298900, 3298999)	35.0	100
32990	NZ_CP009617.1	(3299000, 3299099)	40.0	87
32991	NZ_CP009617.1	(3299100, 3299199)	54.0	84
32992	NZ_CP009617.1	(3299200, 3299299)	48.0	74
32993	NZ_CP009617.1	(3299300, 3299399)	53.0	58
32994	NZ_CP009617.1	(3299400, 3299499)	54.0	65
32995	NZ_CP009617.1	(3299500, 3299599)	52.0	65
32996	NZ_CP009617.1	(3299600, 3299699)	48.0	76
32997	NZ_CP009617.1	(3299700, 3299799)	47.0	59
32998	NZ_CP009617.1	(3299800, 3299899)	51.0	60
32999	NZ_CP009617.1	(3299900, 3299999)	36.0	77
33000	NZ_CP009617.1	(3300000, 3300099)	56.0	70
33001	NZ_CP009617.1	(3300100, 3300199)	52.0	76
33002	NZ_CP009617.1	(3300200, 3300299)	54.0	81
33003	NZ_CP009617.1	(3300300, 3300399)	52.0	75
33004	NZ_CP009617.1	(3300400, 3300499)	46.0	87
33005	NZ_CP009617.1	(3300500, 3300599)	45.0	87
33006	NZ_CP009617.1	(3300600, 3300699)	50.0	70
33007	NZ_CP009617.1	(3300700, 3300799)	49.0	6
33008	NZ_CP009617.1	(3300800, 3300899)	42.0	121
33009	NZ_CP009617.1	(3300900, 3300999)	45.0	71
33010	NZ_CP009617.1	(3301000, 3301099)	49.0	44
33011	NZ_CP009617.1	(3301100, 3301199)	45.0	88
33012	NZ_CP009617.1	(3301200, 3301299)	58.0	89
33013	NZ_CP009617.1	(3301300, 3301399)	54.0	72
33014	NZ_CP009617.1	(3301400, 3301499)	36.0	83
33015	NZ_CP009617.1	(3301500, 3301599)	55.0	65
33016	NZ_CP009617.1	(3301600, 3301699)	45.0	85
33017	NZ_CP009617.1	(3301700, 3301799)	48.0	67
33018	NZ_CP009617.1	(3301800, 3301899)	45.0	77
33019	NZ_CP009617.1	(3301900, 3301999)	54.0	73
33020	NZ_CP009617.1	(3302000, 3302099)	57.0	65
33021	NZ_CP009617.1	(3302100, 3302199)	42.0	75
33022	NZ_CP009617.1	(3302200, 3302299)	42.0	74
33023	NZ_CP009617.1	(3302300, 3302399)	42.0	68
33024	NZ_CP009617.1	(3302400, 3302499)	39.0	64
33025	NZ_CP009617.1	(3302500, 3302599)	49.0	82
33026	NZ_CP009617.1	(3302600, 3302699)	51.0	60
33027	NZ_CP009617.1	(3302700, 3302799)	52.0	72
33028	NZ_CP009617.1	(3302800, 3302899)	52.0	81
33029	NZ_CP009617.1	(3302900, 3302999)	51.0	3
33030	NZ_CP009617.1	(3303000, 3303099)	52.0	48
33031	NZ_CP009617.1	(3303100, 3303199)	55.0	45
33032	NZ_CP009617.1	(3303200, 3303299)	52.0	48
33033	NZ_CP009617.1	(3303300, 3303399)	57.0	60
33034	NZ_CP009617.1	(3303400, 3303499)	51.0	67
33035	NZ_CP009617.1	(3303500, 3303599)	47.0	57
33036	NZ_CP009617.1	(3303600, 3303699)	59.0	73
33037	NZ_CP009617.1	(3303700, 3303799)	49.0	83
33038	NZ_CP009617.1	(3303800, 3303899)	49.0	64
33039	NZ_CP009617.1	(3303900, 3303999)	56.0	64
33040	NZ_CP009617.1	(3304000, 3304099)	57.0	91
33041	NZ_CP009617.1	(3304100, 3304199)	60.0	87
33042	NZ_CP009617.1	(3304200, 3304299)	47.0	109
33043	NZ_CP009617.1	(3304300, 3304399)	55.0	89
33044	NZ_CP009617.1	(3304400, 3304499)	55.0	86
33045	NZ_CP009617.1	(3304500, 3304599)	58.0	85
33046	NZ_CP009617.1	(3304600, 3304699)	53.0	107
33047	NZ_CP009617.1	(3304700, 3304799)	40.0	120
33048	NZ_CP009617.1	(3304800, 3304899)	25.0	113
33049	NZ_CP009617.1	(3304900, 3304999)	42.0	82
33050	NZ_CP009617.1	(3305000, 3305099)	52.0	72
33051	NZ_CP009617.1	(3305100, 3305199)	49.0	71
33052	NZ_CP009617.1	(3305200, 3305299)	45.0	84
33053	NZ_CP009617.1	(3305300, 3305399)	46.0	80
33054	NZ_CP009617.1	(3305400, 3305499)	52.0	71
33055	NZ_CP009617.1	(3305500, 3305599)	49.0	56
33056	NZ_CP009617.1	(3305600, 3305699)	45.0	80
33057	NZ_CP009617.1	(3305700, 3305799)	49.0	77
33058	NZ_CP009617.1	(3305800, 3305899)	50.0	92
33059	NZ_CP009617.1	(3305900, 3305999)	50.0	89
33060	NZ_CP009617.1	(3306000, 3306099)	57.0	71
33061	NZ_CP009617.1	(3306100, 3306199)	59.0	88
33062	NZ_CP009617.1	(3306200, 3306299)	45.0	116
33063	NZ_CP009617.1	(3306300, 3306399)	40.0	76
33064	NZ_CP009617.1	(3306400, 3306499)	46.0	76
33065	NZ_CP009617.1	(3306500, 3306599)	55.0	90
33066	NZ_CP009617.1	(3306600, 3306699)	46.0	91
33067	NZ_CP009617.1	(3306700, 3306799)	55.0	77
33068	NZ_CP009617.1	(3306800, 3306899)	46.0	88
33069	NZ_CP009617.1	(3306900, 3306999)	46.0	86
33070	NZ_CP009617.1	(3307000, 3307099)	52.0	78
33071	NZ_CP009617.1	(3307100, 3307199)	40.0	78
33072	NZ_CP009617.1	(3307200, 3307299)	40.0	75
33073	NZ_CP009617.1	(3307300, 3307399)	59.0	66
33074	NZ_CP009617.1	(3307400, 3307499)	43.0	78
33075	NZ_CP009617.1	(3307500, 3307599)	45.0	72
33076	NZ_CP009617.1	(3307600, 3307699)	51.0	97
33077	NZ_CP009617.1	(3307700, 3307799)	37.0	76
33078	NZ_CP009617.1	(3307800, 3307899)	35.0	95
33079	NZ_CP009617.1	(3307900, 3307999)	51.0	80
33080	NZ_CP009617.1	(3308000, 3308099)	49.0	77
33081	NZ_CP009617.1	(3308100, 3308199)	54.0	73
33082	NZ_CP009617.1	(3308200, 3308299)	49.0	76
33083	NZ_CP009617.1	(3308300, 3308399)	45.0	81
33084	NZ_CP009617.1	(3308400, 3308499)	39.0	82
33085	NZ_CP009617.1	(3308500, 3308599)	45.0	69
33086	NZ_CP009617.1	(3308600, 3308699)	54.0	90
33087	NZ_CP009617.1	(3308700, 3308799)	45.0	42
33088	NZ_CP009617.1	(3308800, 3308899)	45.0	10
33089	NZ_CP009617.1	(3308900, 3308999)	41.0	0
33090	NZ_CP009617.1	(3309000, 3309099)	46.0	40
33091	NZ_CP009617.1	(3309100, 3309199)	42.0	22
33092	NZ_CP009617.1	(3309200, 3309299)	45.0	17
33093	NZ_CP009617.1	(3309300, 3309399)	48.0	9
33094	NZ_CP009617.1	(3309400, 3309499)	42.0	27
33095	NZ_CP009617.1	(3309500, 3309599)	48.0	81
33096	NZ_CP009617.1	(3309600, 3309699)	53.0	49
33097	NZ_CP009617.1	(3309700, 3309799)	52.0	53
33098	NZ_CP009617.1	(3309800, 3309899)	58.0	56
33099	NZ_CP009617.1	(3309900, 3309999)	52.0	68
33100	NZ_CP009617.1	(3310000, 3310099)	54.0	70
33101	NZ_CP009617.1	(3310100, 3310199)	50.0	60
33102	NZ_CP009617.1	(3310200, 3310299)	49.0	65
33103	NZ_CP009617.1	(3310300, 3310399)	56.0	59
33104	NZ_CP009617.1	(3310400, 3310499)	40.0	61
33105	NZ_CP009617.1	(3310500, 3310599)	48.0	74
33106	NZ_CP009617.1	(3310600, 3310699)	56.0	67
33107	NZ_CP009617.1	(3310700, 3310799)	53.0	67
33108	NZ_CP009617.1	(3310800, 3310899)	56.0	70
33109	NZ_CP009617.1	(3310900, 3310999)	55.0	66
33110	NZ_CP009617.1	(3311000, 3311099)	52.0	59
33111	NZ_CP009617.1	(3311100, 3311199)	52.0	41
33112	NZ_CP009617.1	(3311200, 3311299)	54.0	72
33113	NZ_CP009617.1	(3311300, 3311399)	51.0	66
33114	NZ_CP009617.1	(3311400, 3311499)	48.0	73
33115	NZ_CP009617.1	(3311500, 3311599)	47.0	69
33116	NZ_CP009617.1	(3311600, 3311699)	51.0	68
33117	NZ_CP009617.1	(3311700, 3311799)	52.0	76
33118	NZ_CP009617.1	(3311800, 3311899)	50.0	89
33119	NZ_CP009617.1	(3311900, 3311999)	43.0	127
33120	NZ_CP009617.1	(3312000, 3312099)	20.0	92
33121	NZ_CP009617.1	(3312100, 3312199)	25.0	98
33122	NZ_CP009617.1	(3312200, 3312299)	42.0	98
33123	NZ_CP009617.1	(3312300, 3312399)	46.0	104
33124	NZ_CP009617.1	(3312400, 3312499)	48.0	90
33125	NZ_CP009617.1	(3312500, 3312599)	52.0	109
33126	NZ_CP009617.1	(3312600, 3312699)	45.0	121
33127	NZ_CP009617.1	(3312700, 3312799)	51.0	79
33128	NZ_CP009617.1	(3312800, 3312899)	51.0	88
33129	NZ_CP009617.1	(3312900, 3312999)	43.0	116
33130	NZ_CP009617.1	(3313000, 3313099)	40.0	107
33131	NZ_CP009617.1	(3313100, 3313199)	40.0	96
33132	NZ_CP009617.1	(3313200, 3313299)	49.0	70
33133	NZ_CP009617.1	(3313300, 3313399)	49.0	137
33134	NZ_CP009617.1	(3313400, 3313499)	45.0	96
33135	NZ_CP009617.1	(3313500, 3313599)	50.0	87
33136	NZ_CP009617.1	(3313600, 3313699)	49.0	90
33137	NZ_CP009617.1	(3313700, 3313799)	43.0	88
33138	NZ_CP009617.1	(3313800, 3313899)	48.0	103
33139	NZ_CP009617.1	(3313900, 3313999)	53.0	94
33140	NZ_CP009617.1	(3314000, 3314099)	51.0	87
33141	NZ_CP009617.1	(3314100, 3314199)	44.0	75
33142	NZ_CP009617.1	(3314200, 3314299)	44.0	89
33143	NZ_CP009617.1	(3314300, 3314399)	54.0	87
33144	NZ_CP009617.1	(3314400, 3314499)	49.0	87
33145	NZ_CP009617.1	(3314500, 3314599)	54.0	74
33146	NZ_CP009617.1	(3314600, 3314699)	44.0	71
33147	NZ_CP009617.1	(3314700, 3314799)	46.0	78
33148	NZ_CP009617.1	(3314800, 3314899)	55.0	87
33149	NZ_CP009617.1	(3314900, 3314999)	50.0	68
33150	NZ_CP009617.1	(3315000, 3315099)	49.0	76
33151	NZ_CP009617.1	(3315100, 3315199)	50.0	64
33152	NZ_CP009617.1	(3315200, 3315299)	56.0	61
33153	NZ_CP009617.1	(3315300, 3315399)	41.0	67
33154	NZ_CP009617.1	(3315400, 3315499)	51.0	87
33155	NZ_CP009617.1	(3315500, 3315599)	47.0	70
33156	NZ_CP009617.1	(3315600, 3315699)	36.0	64
33157	NZ_CP009617.1	(3315700, 3315799)	52.0	50
33158	NZ_CP009617.1	(3315800, 3315899)	53.0	74
33159	NZ_CP009617.1	(3315900, 3315999)	52.0	69
33160	NZ_CP009617.1	(3316000, 3316099)	50.0	58
33161	NZ_CP009617.1	(3316100, 3316199)	55.0	55
33162	NZ_CP009617.1	(3316200, 3316299)	52.0	61
33163	NZ_CP009617.1	(3316300, 3316399)	54.0	62
33164	NZ_CP009617.1	(3316400, 3316499)	40.0	59
33165	NZ_CP009617.1	(3316500, 3316599)	50.0	70
33166	NZ_CP009617.1	(3316600, 3316699)	52.0	70
33167	NZ_CP009617.1	(3316700, 3316799)	42.0	68
33168	NZ_CP009617.1	(3316800, 3316899)	49.0	69
33169	NZ_CP009617.1	(3316900, 3316999)	52.0	50
33170	NZ_CP009617.1	(3317000, 3317099)	54.0	80
33171	NZ_CP009617.1	(3317100, 3317199)	51.0	73
33172	NZ_CP009617.1	(3317200, 3317299)	45.0	83
33173	NZ_CP009617.1	(3317300, 3317399)	53.0	52
33174	NZ_CP009617.1	(3317400, 3317499)	56.0	46
33175	NZ_CP009617.1	(3317500, 3317599)	50.0	87
33176	NZ_CP009617.1	(3317600, 3317699)	52.0	64
33177	NZ_CP009617.1	(3317700, 3317799)	55.0	70
33178	NZ_CP009617.1	(3317800, 3317899)	52.0	93
33179	NZ_CP009617.1	(3317900, 3317999)	53.0	93
33180	NZ_CP009617.1	(3318000, 3318099)	47.0	76
33181	NZ_CP009617.1	(3318100, 3318199)	49.0	83
33182	NZ_CP009617.1	(3318200, 3318299)	54.0	73
33183	NZ_CP009617.1	(3318300, 3318399)	59.0	67
33184	NZ_CP009617.1	(3318400, 3318499)	46.0	93
33185	NZ_CP009617.1	(3318500, 3318599)	44.0	63
33186	NZ_CP009617.1	(3318600, 3318699)	47.0	52
33187	NZ_CP009617.1	(3318700, 3318799)	52.0	55
33188	NZ_CP009617.1	(3318800, 3318899)	64.0	69
33189	NZ_CP009617.1	(3318900, 3318999)	50.0	66
33190	NZ_CP009617.1	(3319000, 3319099)	48.0	59
33191	NZ_CP009617.1	(3319100, 3319199)	52.0	76
33192	NZ_CP009617.1	(3319200, 3319299)	54.0	75
33193	NZ_CP009617.1	(3319300, 3319399)	42.0	104
33194	NZ_CP009617.1	(3319400, 3319499)	50.0	92
33195	NZ_CP009617.1	(3319500, 3319599)	51.0	92
33196	NZ_CP009617.1	(3319600, 3319699)	40.0	99
33197	NZ_CP009617.1	(3319700, 3319799)	54.0	69
33198	NZ_CP009617.1	(3319800, 3319899)	50.0	77
33199	NZ_CP009617.1	(3319900, 3319999)	49.0	90
33200	NZ_CP009617.1	(3320000, 3320099)	41.0	90
33201	NZ_CP009617.1	(3320100, 3320199)	35.0	89
33202	NZ_CP009617.1	(3320200, 3320299)	50.0	85
33203	NZ_CP009617.1	(3320300, 3320399)	51.0	73
33204	NZ_CP009617.1	(3320400, 3320499)	46.0	111
33205	NZ_CP009617.1	(3320500, 3320599)	46.0	85
33206	NZ_CP009617.1	(3320600, 3320699)	51.0	79
33207	NZ_CP009617.1	(3320700, 3320799)	38.0	87
33208	NZ_CP009617.1	(3320800, 3320899)	41.0	76
33209	NZ_CP009617.1	(3320900, 3320999)	42.0	77
33210	NZ_CP009617.1	(3321000, 3321099)	38.0	91
33211	NZ_CP009617.1	(3321100, 3321199)	52.0	72
