REFID,window,GC,hits
NZ_CP009618.1,"(368800, 368899)",51.0,63
NZ_CP009618.1,"(368900, 368999)",50.0,82
NZ_CP009618.1,"(369000, 369099)",49.0,75
NZ_CP009618.1,"(369100, 369199)",52.0,59
NZ_CP009618.1,"(369200, 369299)",47.0,65
NZ_CP009618.1,"(369300, 369399)",44.0,57
NZ_CP009618.1,"(369400, 369499)",49.0,68
NZ_CP009618.1,"(369500, 369599)",45.0,59
NZ_CP009618.1,"(369600, 369699)",45.0,60
NZ_CP009618.1,"(369700, 369799)",47.0,73
NZ_CP009618.1,"(369800, 369899)",49.0,61
NZ_CP009618.1,"(369900, 369999)",40.0,64
NZ_CP009618.1,"(370000, 370099)",51.0,66
NZ_CP009618.1,"(370100, 370199)",47.0,64
NZ_CP009618.1,"(370200, 370299)",47.0,80
NZ_CP009618.1,"(370300, 370399)",57.0,90
NZ_CP009618.1,"(370400, 370499)",46.0,69
NZ_CP009618.1,"(370500, 370599)",46.0,64
NZ_CP009618.1,"(370600, 370699)",50.0,69
NZ_CP009618.1,"(370700, 370799)",50.0,70
NZ_CP009618.1,"(370800, 370899)",48.0,71
NZ_CP009618.1,"(370900, 370999)",41.0,89
NZ_CP009618.1,"(371000, 371099)",47.0,76
NZ_CP009618.1,"(371100, 371199)",50.0,67
NZ_CP009618.1,"(371200, 371299)",40.0,70
NZ_CP009618.1,"(371300, 371399)",39.0,88
NZ_CP009618.1,"(371400, 371499)",42.0,74
NZ_CP009618.1,"(371500, 371599)",44.0,70
NZ_CP009618.1,"(371600, 371699)",45.0,54
NZ_CP009618.1,"(371700, 371799)",39.0,69
NZ_CP009618.1,"(371800, 371899)",41.0,73
NZ_CP009618.1,"(371900, 371999)",48.0,67
NZ_CP009618.1,"(372000, 372099)",41.0,67
NZ_CP009618.1,"(372100, 372199)",50.0,75
NZ_CP009618.1,"(372200, 372299)",40.0,66
NZ_CP009618.1,"(372300, 372399)",41.0,73
NZ_CP009618.1,"(372400, 372499)",44.0,73
NZ_CP009618.1,"(372500, 372599)",49.0,76
NZ_CP009618.1,"(372600, 372699)",47.0,70
NZ_CP009618.1,"(372700, 372799)",43.0,70
NZ_CP009618.1,"(372800, 372899)",41.0,85
NZ_CP009618.1,"(372900, 372999)",40.0,72
NZ_CP009618.1,"(373000, 373099)",37.0,87
NZ_CP009618.1,"(373100, 373199)",46.0,73
NZ_CP009618.1,"(373200, 373299)",38.0,90
NZ_CP009618.1,"(373300, 373399)",37.0,80
NZ_CP009618.1,"(373400, 373499)",39.0,77
NZ_CP009618.1,"(373500, 373599)",44.0,81
NZ_CP009618.1,"(373600, 373699)",41.0,90
NZ_CP009618.1,"(373700, 373799)",41.0,73
NZ_CP009618.1,"(373800, 373899)",40.0,71
NZ_CP009618.1,"(373900, 373999)",47.0,75
NZ_CP009618.1,"(374000, 374099)",49.0,79
NZ_CP009618.1,"(374100, 374199)",47.0,73
NZ_CP009618.1,"(374200, 374299)",46.0,57
NZ_CP009618.1,"(374300, 374399)",54.0,52
NZ_CP009618.1,"(374400, 374499)",50.0,79
NZ_CP009618.1,"(374500, 374599)",46.0,66
NZ_CP009618.1,"(374600, 374699)",46.0,64
NZ_CP009618.1,"(374700, 374799)",48.0,92
NZ_CP009618.1,"(374800, 374899)",38.0,90
NZ_CP009618.1,"(374900, 374999)",31.0,81
NZ_CP009618.1,"(375000, 375099)",39.0,75
NZ_CP009618.1,"(375100, 375199)",48.0,77
NZ_CP009618.1,"(375200, 375299)",48.0,64
NZ_CP009618.1,"(375300, 375399)",41.0,82
NZ_CP009618.1,"(375400, 375499)",46.0,62
NZ_CP009618.1,"(375500, 375599)",52.0,66
NZ_CP009618.1,"(375600, 375699)",44.0,65
NZ_CP009618.1,"(375700, 375799)",45.0,73
NZ_CP009618.1,"(375800, 375899)",43.0,72
NZ_CP009618.1,"(375900, 375999)",46.0,73
NZ_CP009618.1,"(376000, 376099)",49.0,64
NZ_CP009618.1,"(376100, 376199)",45.0,65
NZ_CP009618.1,"(376200, 376299)",41.0,74
NZ_CP009618.1,"(376300, 376399)",44.0,83
NZ_CP009618.1,"(376400, 376499)",41.0,72
NZ_CP009618.1,"(376500, 376599)",50.0,75
NZ_CP009618.1,"(376600, 376699)",48.0,65
NZ_CP009618.1,"(376700, 376799)",45.0,69
NZ_CP009618.1,"(376800, 376899)",38.0,73
NZ_CP009618.1,"(376900, 376999)",45.0,88
NZ_CP009618.1,"(377000, 377099)",43.0,96
NZ_CP009618.1,"(377100, 377199)",38.0,103
NZ_CP009618.1,"(377200, 377299)",46.0,90
NZ_CP009618.1,"(377300, 377399)",47.0,103
NZ_CP009618.1,"(377400, 377499)",37.0,127
NZ_CP009618.1,"(377500, 377599)",26.0,140
NZ_CP009618.1,"(377600, 377699)",13.0,129
NZ_CP009618.1,"(377700, 377799)",24.0,104
NZ_CP009618.1,"(377800, 377899)",27.0,143
NZ_CP009618.1,"(377900, 377999)",51.0,90
NZ_CP009618.1,"(378000, 378099)",45.0,107
NZ_CP009618.1,"(378100, 378199)",44.0,118
NZ_CP009618.1,"(378200, 378299)",42.0,106
NZ_CP009618.1,"(378300, 378399)",47.0,78
NZ_CP009618.1,"(378400, 378499)",39.0,90
NZ_CP009618.1,"(378500, 378599)",44.0,74
NZ_CP009618.1,"(378600, 378699)",48.0,77
NZ_CP009618.1,"(378700, 378799)",49.0,62
NZ_CP009618.1,"(378800, 378899)",52.0,75
NZ_CP009618.1,"(378900, 378999)",47.0,83
NZ_CP009618.1,"(379000, 379099)",49.0,66
NZ_CP009618.1,"(379100, 379199)",51.0,76
NZ_CP009618.1,"(379200, 379299)",43.0,82
NZ_CP009618.1,"(379300, 379399)",57.0,91
NZ_CP009618.1,"(379400, 379499)",47.0,96
NZ_CP009618.1,"(379500, 379599)",46.0,99
NZ_CP009618.1,"(379600, 379699)",38.0,106
NZ_CP009618.1,"(379700, 379799)",43.0,102
NZ_CP009618.1,"(379800, 379899)",45.0,84
NZ_CP009618.1,"(379900, 379999)",46.0,88
NZ_CP009618.1,"(380000, 380099)",42.0,89
NZ_CP009618.1,"(380100, 380199)",47.0,76
NZ_CP009618.1,"(380200, 380299)",38.0,111
NZ_CP009618.1,"(380300, 380399)",44.0,116
NZ_CP009618.1,"(380400, 380499)",38.0,95
NZ_CP009618.1,"(380500, 380599)",36.0,91
NZ_CP009618.1,"(380600, 380699)",47.0,104
NZ_CP009618.1,"(380700, 380799)",39.0,90
NZ_CP009618.1,"(380800, 380899)",41.0,60
NZ_CP009618.1,"(380900, 380999)",48.0,81
NZ_CP009618.1,"(381000, 381099)",46.0,57
NZ_CP009618.1,"(381100, 381199)",49.0,76
NZ_CP009618.1,"(381200, 381299)",44.0,69
NZ_CP009618.1,"(381300, 381399)",47.0,46
NZ_CP009618.1,"(381400, 381499)",52.0,59
NZ_CP009618.1,"(381500, 381599)",52.0,50
NZ_CP009618.1,"(381600, 381699)",46.0,58
NZ_CP009618.1,"(381700, 381799)",46.0,82
NZ_CP009618.1,"(381800, 381899)",41.0,64
NZ_CP009618.1,"(381900, 381999)",34.0,66
NZ_CP009618.1,"(382000, 382099)",44.0,68
NZ_CP009618.1,"(382100, 382199)",46.0,60
NZ_CP009618.1,"(382200, 382299)",46.0,60
NZ_CP009618.1,"(382300, 382399)",49.0,61
NZ_CP009618.1,"(382400, 382499)",46.0,60
NZ_CP009618.1,"(382500, 382599)",45.0,60
NZ_CP009618.1,"(382600, 382699)",46.0,73
NZ_CP009618.1,"(382700, 382799)",50.0,73
NZ_CP009618.1,"(382800, 382899)",45.0,84
NZ_CP009618.1,"(382900, 382999)",49.0,57
NZ_CP009618.1,"(383000, 383099)",45.0,58
NZ_CP009618.1,"(383100, 383199)",48.0,71
NZ_CP009618.1,"(383200, 383299)",44.0,67
NZ_CP009618.1,"(383300, 383399)",48.0,67
NZ_CP009618.1,"(383400, 383499)",43.0,71
NZ_CP009618.1,"(383500, 383599)",53.0,75
NZ_CP009618.1,"(383600, 383699)",37.0,86
NZ_CP009618.1,"(383700, 383799)",51.0,0
NZ_CP009618.1,"(383800, 383899)",42.0,175
NZ_CP009618.1,"(383900, 383999)",46.0,83
NZ_CP009618.1,"(384000, 384099)",45.0,75
NZ_CP009618.1,"(384100, 384199)",44.0,86
NZ_CP009618.1,"(384200, 384299)",50.0,75
NZ_CP009618.1,"(384300, 384399)",48.0,92
NZ_CP009618.1,"(384400, 384499)",45.0,67
NZ_CP009618.1,"(384500, 384599)",46.0,78
NZ_CP009618.1,"(384600, 384699)",46.0,63
NZ_CP009618.1,"(384700, 384799)",52.0,63
NZ_CP009618.1,"(384800, 384899)",50.0,81
NZ_CP009618.1,"(384900, 384999)",48.0,61
NZ_CP009618.1,"(385000, 385099)",47.0,66
NZ_CP009618.1,"(385100, 385199)",49.0,62
NZ_CP009618.1,"(385200, 385299)",50.0,62
NZ_CP009618.1,"(385300, 385399)",50.0,65
NZ_CP009618.1,"(385400, 385499)",45.0,76
NZ_CP009618.1,"(385500, 385599)",37.0,58
NZ_CP009618.1,"(385600, 385699)",42.0,66
NZ_CP009618.1,"(385700, 385799)",44.0,84
NZ_CP009618.1,"(385800, 385899)",39.0,63
NZ_CP009618.1,"(385900, 385999)",41.0,100
NZ_CP009618.1,"(386000, 386099)",47.0,61
NZ_CP009618.1,"(386100, 386199)",52.0,92
NZ_CP009618.1,"(386200, 386299)",43.0,87
NZ_CP009618.1,"(386300, 386399)",44.0,83
NZ_CP009618.1,"(386400, 386499)",40.0,66
NZ_CP009618.1,"(386500, 386599)",44.0,56
NZ_CP009618.1,"(386600, 386699)",48.0,74
NZ_CP009618.1,"(386700, 386799)",37.0,77
NZ_CP009618.1,"(386800, 386899)",47.0,55
NZ_CP009618.1,"(386900, 386999)",45.0,59
NZ_CP009618.1,"(387000, 387099)",50.0,73
NZ_CP009618.1,"(387100, 387199)",45.0,73
NZ_CP009618.1,"(387200, 387299)",51.0,72
NZ_CP009618.1,"(387300, 387399)",38.0,88
NZ_CP009618.1,"(387400, 387499)",40.0,91
NZ_CP009618.1,"(387500, 387599)",24.0,96
NZ_CP009618.1,"(387600, 387699)",37.0,99
NZ_CP009618.1,"(387700, 387799)",34.0,76
NZ_CP009618.1,"(387800, 387899)",44.0,80
NZ_CP009618.1,"(387900, 387999)",50.0,64
NZ_CP009618.1,"(388000, 388099)",52.0,60
NZ_CP009618.1,"(388100, 388199)",48.0,54
NZ_CP009618.1,"(388200, 388299)",56.0,52
NZ_CP009618.1,"(388300, 388399)",50.0,65
NZ_CP009618.1,"(388400, 388499)",48.0,88
NZ_CP009618.1,"(388500, 388599)",48.0,72
NZ_CP009618.1,"(388600, 388699)",52.0,60
NZ_CP009618.1,"(388700, 388799)",45.0,78
NZ_CP009618.1,"(388800, 388899)",47.0,81
NZ_CP009618.1,"(388900, 388999)",53.0,51
NZ_CP009618.1,"(389000, 389099)",55.0,77
NZ_CP009618.1,"(389100, 389199)",41.0,61
NZ_CP009618.1,"(389200, 389299)",45.0,51
NZ_CP009618.1,"(389300, 389399)",52.0,64
NZ_CP009618.1,"(389400, 389499)",44.0,73
NZ_CP009618.1,"(389500, 389599)",44.0,83
NZ_CP009618.1,"(389600, 389699)",50.0,69
NZ_CP009618.1,"(389700, 389799)",50.0,91
NZ_CP009618.1,"(389800, 389899)",48.0,74
NZ_CP009618.1,"(389900, 389999)",38.0,100
NZ_CP009618.1,"(390000, 390099)",38.0,83
NZ_CP009618.1,"(390100, 390199)",44.0,77
NZ_CP009618.1,"(390200, 390299)",44.0,70
NZ_CP009618.1,"(390300, 390399)",46.0,81
NZ_CP009618.1,"(390400, 390499)",37.0,89
NZ_CP009618.1,"(390500, 390599)",43.0,73
NZ_CP009618.1,"(390600, 390699)",44.0,85
NZ_CP009618.1,"(390700, 390799)",48.0,65
NZ_CP009618.1,"(390800, 390899)",42.0,78
NZ_CP009618.1,"(390900, 390999)",46.0,72
NZ_CP009618.1,"(391000, 391099)",42.0,85
NZ_CP009618.1,"(391100, 391199)",40.0,71
NZ_CP009618.1,"(391200, 391299)",42.0,80
NZ_CP009618.1,"(391300, 391399)",44.0,74
NZ_CP009618.1,"(391400, 391499)",44.0,85
NZ_CP009618.1,"(391500, 391599)",36.0,72
NZ_CP009618.1,"(391600, 391699)",43.0,75
NZ_CP009618.1,"(391700, 391799)",51.0,76
NZ_CP009618.1,"(391800, 391899)",47.0,68
NZ_CP009618.1,"(391900, 391999)",45.0,81
NZ_CP009618.1,"(392000, 392099)",48.0,60
NZ_CP009618.1,"(392100, 392199)",43.0,73
NZ_CP009618.1,"(392200, 392299)",47.0,62
NZ_CP009618.1,"(392300, 392399)",44.0,70
NZ_CP009618.1,"(392400, 392499)",48.0,64
NZ_CP009618.1,"(392500, 392599)",49.0,57
NZ_CP009618.1,"(392600, 392699)",50.0,63
NZ_CP009618.1,"(392700, 392799)",44.0,69
NZ_CP009618.1,"(392800, 392899)",42.0,59
NZ_CP009618.1,"(392900, 392999)",51.0,60
NZ_CP009618.1,"(393000, 393099)",43.0,68
NZ_CP009618.1,"(393100, 393199)",46.0,75
NZ_CP009618.1,"(393200, 393299)",48.0,59
NZ_CP009618.1,"(393300, 393399)",45.0,68
NZ_CP009618.1,"(393400, 393499)",40.0,69
NZ_CP009618.1,"(393500, 393599)",49.0,74
NZ_CP009618.1,"(393600, 393699)",51.0,71
NZ_CP009618.1,"(393700, 393799)",39.0,66
NZ_CP009618.1,"(393800, 393899)",49.0,81
NZ_CP009618.1,"(393900, 393999)",45.0,78
NZ_CP009618.1,"(394000, 394099)",42.0,62
NZ_CP009618.1,"(394100, 394199)",44.0,84
NZ_CP009618.1,"(394200, 394299)",47.0,76
NZ_CP009618.1,"(394300, 394399)",50.0,68
NZ_CP009618.1,"(394400, 394499)",43.0,64
NZ_CP009618.1,"(394500, 394599)",43.0,77
NZ_CP009618.1,"(394600, 394699)",41.0,64
NZ_CP009618.1,"(394700, 394799)",43.0,62
NZ_CP009618.1,"(394800, 394899)",52.0,61
NZ_CP009618.1,"(394900, 394999)",50.0,65
NZ_CP009618.1,"(395000, 395099)",52.0,58
NZ_CP009618.1,"(395100, 395199)",50.0,70
NZ_CP009618.1,"(395200, 395299)",48.0,75
NZ_CP009618.1,"(395300, 395399)",46.0,71
NZ_CP009618.1,"(395400, 395499)",49.0,73
NZ_CP009618.1,"(395500, 395599)",39.0,71
NZ_CP009618.1,"(395600, 395699)",46.0,67
NZ_CP009618.1,"(395700, 395799)",50.0,60
NZ_CP009618.1,"(395800, 395899)",48.0,64
NZ_CP009618.1,"(395900, 395999)",48.0,70
NZ_CP009618.1,"(396000, 396099)",50.0,62
NZ_CP009618.1,"(396100, 396199)",45.0,70
NZ_CP009618.1,"(396200, 396299)",50.0,77
NZ_CP009618.1,"(396300, 396399)",47.0,87
NZ_CP009618.1,"(396400, 396499)",44.0,82
NZ_CP009618.1,"(396500, 396599)",42.0,58
NZ_CP009618.1,"(396600, 396699)",46.0,79
NZ_CP009618.1,"(396700, 396799)",50.0,66
NZ_CP009618.1,"(396800, 396899)",39.0,73
NZ_CP009618.1,"(396900, 396999)",49.0,71
NZ_CP009618.1,"(397000, 397099)",49.0,58
NZ_CP009618.1,"(397100, 397199)",49.0,60
NZ_CP009618.1,"(397200, 397299)",46.0,62
NZ_CP009618.1,"(397300, 397399)",52.0,55
NZ_CP009618.1,"(397400, 397499)",43.0,73
NZ_CP009618.1,"(397500, 397599)",55.0,56
NZ_CP009618.1,"(397600, 397699)",44.0,66
NZ_CP009618.1,"(397700, 397799)",41.0,68
NZ_CP009618.1,"(397800, 397899)",42.0,73
NZ_CP009618.1,"(397900, 397999)",51.0,78
NZ_CP009618.1,"(398000, 398099)",40.0,75
NZ_CP009618.1,"(398100, 398199)",50.0,82
NZ_CP009618.1,"(398200, 398299)",44.0,94
NZ_CP009618.1,"(398300, 398399)",42.0,89
NZ_CP009618.1,"(398400, 398499)",40.0,96
NZ_CP009618.1,"(398500, 398599)",44.0,95
NZ_CP009618.1,"(398600, 398699)",45.0,81
NZ_CP009618.1,"(398700, 398799)",50.0,79
NZ_CP009618.1,"(398800, 398899)",46.0,96
NZ_CP009618.1,"(398900, 398999)",51.0,80
NZ_CP009618.1,"(399000, 399099)",44.0,57
NZ_CP009618.1,"(399100, 399199)",49.0,77
NZ_CP009618.1,"(399200, 399299)",50.0,73
NZ_CP009618.1,"(399300, 399399)",49.0,109
NZ_CP009618.1,"(399400, 399499)",38.0,81
NZ_CP009618.1,"(399500, 399599)",32.0,86
NZ_CP009618.1,"(399600, 399699)",46.0,78
NZ_CP009618.1,"(399700, 399799)",47.0,87
NZ_CP009618.1,"(399800, 399899)",40.0,106
NZ_CP009618.1,"(399900, 399999)",53.0,58
NZ_CP009618.1,"(400000, 400099)",46.0,66
NZ_CP009618.1,"(400100, 400199)",46.0,59
NZ_CP009618.1,"(400200, 400299)",51.0,72
NZ_CP009618.1,"(400300, 400399)",46.0,50
NZ_CP009618.1,"(400400, 400499)",48.0,57
NZ_CP009618.1,"(400500, 400599)",51.0,41
NZ_CP009618.1,"(400600, 400699)",49.0,33
NZ_CP009618.1,"(400700, 400799)",53.0,63
NZ_CP009618.1,"(400800, 400899)",46.0,51
NZ_CP009618.1,"(400900, 400999)",53.0,67
NZ_CP009618.1,"(401000, 401099)",55.0,72
NZ_CP009618.1,"(401100, 401199)",46.0,59
NZ_CP009618.1,"(401200, 401299)",54.0,79
NZ_CP009618.1,"(401300, 401399)",47.0,79
NZ_CP009618.1,"(401400, 401499)",51.0,74
NZ_CP009618.1,"(401500, 401599)",47.0,85
NZ_CP009618.1,"(401600, 401699)",40.0,91
NZ_CP009618.1,"(401700, 401799)",46.0,68
NZ_CP009618.1,"(401800, 401899)",51.0,71
NZ_CP009618.1,"(401900, 401999)",41.0,64
NZ_CP009618.1,"(402000, 402099)",47.0,78
NZ_CP009618.1,"(402100, 402199)",50.0,59
NZ_CP009618.1,"(402200, 402299)",44.0,75
NZ_CP009618.1,"(402300, 402399)",51.0,77
NZ_CP009618.1,"(402400, 402499)",50.0,76
NZ_CP009618.1,"(402500, 402599)",42.0,82
NZ_CP009618.1,"(402600, 402699)",46.0,13
NZ_CP009618.1,"(402700, 402799)",33.0,0
NZ_CP009618.1,"(402800, 402899)",41.0,0
NZ_CP009618.1,"(402900, 402999)",49.0,0
NZ_CP009618.1,"(403000, 403099)",47.0,0
NZ_CP009618.1,"(403100, 403199)",37.0,0
NZ_CP009618.1,"(403200, 403299)",43.0,0
NZ_CP009618.1,"(403300, 403399)",46.0,0
NZ_CP009618.1,"(403400, 403499)",49.0,0
NZ_CP009618.1,"(403500, 403599)",43.0,0
NZ_CP009618.1,"(403600, 403699)",33.0,0
NZ_CP009618.1,"(403700, 403799)",38.0,0
NZ_CP009618.1,"(403800, 403899)",46.0,0
NZ_CP009618.1,"(403900, 403999)",42.0,0
NZ_CP009618.1,"(404000, 404099)",44.0,0
NZ_CP009618.1,"(404100, 404199)",51.0,0
NZ_CP009618.1,"(404200, 404299)",48.0,0
NZ_CP009618.1,"(404300, 404399)",47.0,0
NZ_CP009618.1,"(404400, 404499)",46.0,0
NZ_CP009618.1,"(404500, 404599)",40.0,0
NZ_CP009618.1,"(404600, 404699)",48.0,0
NZ_CP009618.1,"(404700, 404799)",40.0,0
NZ_CP009618.1,"(404800, 404899)",41.0,92
NZ_CP009618.1,"(404900, 404999)",37.0,0
NZ_CP009618.1,"(405000, 405099)",39.0,0
NZ_CP009618.1,"(405100, 405199)",38.0,0
NZ_CP009618.1,"(405200, 405299)",42.0,125
NZ_CP009618.1,"(405300, 405399)",43.0,0
NZ_CP009618.1,"(405400, 405499)",40.0,139
NZ_CP009618.1,"(405500, 405599)",38.0,99
NZ_CP009618.1,"(405600, 405699)",49.0,114
NZ_CP009618.1,"(405700, 405799)",36.0,102
NZ_CP009618.1,"(405800, 405899)",21.0,123
NZ_CP009618.1,"(405900, 405999)",34.0,102
NZ_CP009618.1,"(406000, 406099)",30.0,104
NZ_CP009618.1,"(406100, 406199)",35.0,96
NZ_CP009618.1,"(406200, 406299)",41.0,83
NZ_CP009618.1,"(406300, 406399)",42.0,69
NZ_CP009618.1,"(406400, 406499)",45.0,81
NZ_CP009618.1,"(406500, 406599)",43.0,60
NZ_CP009618.1,"(406600, 406699)",49.0,69
NZ_CP009618.1,"(406700, 406799)",41.0,67
NZ_CP009618.1,"(406800, 406899)",42.0,66
NZ_CP009618.1,"(406900, 406999)",50.0,57
NZ_CP009618.1,"(407000, 407099)",48.0,57
NZ_CP009618.1,"(407100, 407199)",46.0,45
NZ_CP009618.1,"(407200, 407299)",51.0,60
NZ_CP009618.1,"(407300, 407399)",43.0,67
NZ_CP009618.1,"(407400, 407499)",39.0,83
NZ_CP009618.1,"(407500, 407599)",47.0,18
NZ_CP009618.1,"(407600, 407699)",52.0,95
NZ_CP009618.1,"(407700, 407799)",49.0,53
NZ_CP009618.1,"(407800, 407899)",54.0,84
NZ_CP009618.1,"(407900, 407999)",40.0,85
NZ_CP009618.1,"(408000, 408099)",44.0,86
NZ_CP009618.1,"(408100, 408199)",43.0,65
NZ_CP009618.1,"(408200, 408299)",40.0,80
NZ_CP009618.1,"(408300, 408399)",41.0,90
NZ_CP009618.1,"(408400, 408499)",46.0,83
NZ_CP009618.1,"(408500, 408599)",38.0,92
NZ_CP009618.1,"(408600, 408699)",44.0,76
NZ_CP009618.1,"(408700, 408799)",42.0,84
NZ_CP009618.1,"(408800, 408899)",45.0,64
NZ_CP009618.1,"(408900, 408999)",41.0,69
NZ_CP009618.1,"(409000, 409099)",51.0,66
NZ_CP009618.1,"(409100, 409199)",44.0,55
NZ_CP009618.1,"(409200, 409299)",44.0,68
NZ_CP009618.1,"(409300, 409399)",33.0,101
NZ_CP009618.1,"(409400, 409499)",38.0,83
NZ_CP009618.1,"(409500, 409599)",40.0,81
NZ_CP009618.1,"(409600, 409699)",47.0,84
NZ_CP009618.1,"(409700, 409799)",42.0,85
NZ_CP009618.1,"(409800, 409899)",45.0,79
NZ_CP009618.1,"(409900, 409999)",41.0,79
NZ_CP009618.1,"(410000, 410099)",48.0,78
NZ_CP009618.1,"(410100, 410199)",39.0,86
NZ_CP009618.1,"(410200, 410299)",43.0,64
NZ_CP009618.1,"(410300, 410399)",46.0,62
NZ_CP009618.1,"(410400, 410499)",53.0,138
NZ_CP009618.1,"(410500, 410599)",44.0,70
NZ_CP009618.1,"(410600, 410699)",44.0,81
NZ_CP009618.1,"(410700, 410799)",38.0,81
NZ_CP009618.1,"(410800, 410899)",47.0,79
NZ_CP009618.1,"(410900, 410999)",41.0,69
NZ_CP009618.1,"(411000, 411099)",39.0,99
NZ_CP009618.1,"(411100, 411199)",43.0,88
NZ_CP009618.1,"(411200, 411299)",32.0,78
NZ_CP009618.1,"(411300, 411399)",41.0,70
NZ_CP009618.1,"(411400, 411499)",45.0,83
NZ_CP009618.1,"(411500, 411599)",41.0,81
NZ_CP009618.1,"(411600, 411699)",48.0,106
NZ_CP009618.1,"(411700, 411799)",37.0,85
NZ_CP009618.1,"(411800, 411899)",40.0,80
NZ_CP009618.1,"(411900, 411999)",43.0,79
NZ_CP009618.1,"(412000, 412099)",40.0,68
NZ_CP009618.1,"(412100, 412199)",39.0,60
NZ_CP009618.1,"(412200, 412299)",42.0,60
NZ_CP009618.1,"(412300, 412399)",48.0,50
NZ_CP009618.1,"(412400, 412499)",45.0,64
NZ_CP009618.1,"(412500, 412599)",40.0,65
NZ_CP009618.1,"(412600, 412699)",47.0,71
NZ_CP009618.1,"(412700, 412799)",41.0,64
NZ_CP009618.1,"(412800, 412899)",42.0,83
NZ_CP009618.1,"(412900, 412999)",50.0,64
NZ_CP009618.1,"(413000, 413099)",43.0,63
NZ_CP009618.1,"(413100, 413199)",53.0,81
NZ_CP009618.1,"(413200, 413299)",44.0,77
NZ_CP009618.1,"(413300, 413399)",37.0,87
NZ_CP009618.1,"(413400, 413499)",43.0,70
NZ_CP009618.1,"(413500, 413599)",41.0,60
NZ_CP009618.1,"(413600, 413699)",46.0,108
NZ_CP009618.1,"(413700, 413799)",47.0,91
NZ_CP009618.1,"(413800, 413899)",38.0,93
NZ_CP009618.1,"(413900, 413999)",37.0,97
NZ_CP009618.1,"(414000, 414099)",47.0,91
NZ_CP009618.1,"(414100, 414199)",44.0,110
NZ_CP009618.1,"(414200, 414299)",46.0,123
NZ_CP009618.1,"(414300, 414399)",37.0,101
NZ_CP009618.1,"(414400, 414499)",30.0,119
NZ_CP009618.1,"(414500, 414599)",27.0,106
NZ_CP009618.1,"(414600, 414699)",45.0,85
NZ_CP009618.1,"(414700, 414799)",39.0,88
NZ_CP009618.1,"(414800, 414899)",43.0,98
NZ_CP009618.1,"(414900, 414999)",41.0,90
NZ_CP009618.1,"(415000, 415099)",27.0,115
NZ_CP009618.1,"(415100, 415199)",27.0,94
NZ_CP009618.1,"(415200, 415299)",52.0,63
NZ_CP009618.1,"(415300, 415399)",45.0,83
NZ_CP009618.1,"(415400, 415499)",40.0,75
NZ_CP009618.1,"(415500, 415599)",36.0,85
NZ_CP009618.1,"(415600, 415699)",42.0,54
NZ_CP009618.1,"(415700, 415799)",41.0,62
NZ_CP009618.1,"(415800, 415899)",51.0,62
NZ_CP009618.1,"(415900, 415999)",47.0,67
NZ_CP009618.1,"(416000, 416099)",41.0,73
NZ_CP009618.1,"(416100, 416199)",44.0,76
NZ_CP009618.1,"(416200, 416299)",40.0,79
NZ_CP009618.1,"(416300, 416399)",44.0,71
NZ_CP009618.1,"(416400, 416499)",43.0,71
NZ_CP009618.1,"(416500, 416599)",43.0,73
NZ_CP009618.1,"(416600, 416699)",46.0,84
NZ_CP009618.1,"(416700, 416799)",35.0,99
NZ_CP009618.1,"(416800, 416899)",34.0,90
NZ_CP009618.1,"(416900, 416999)",45.0,88
NZ_CP009618.1,"(417000, 417099)",41.0,87
NZ_CP009618.1,"(417100, 417199)",40.0,66
NZ_CP009618.1,"(417200, 417299)",52.0,65
NZ_CP009618.1,"(417300, 417399)",46.0,85
NZ_CP009618.1,"(417400, 417499)",50.0,70
NZ_CP009618.1,"(417500, 417599)",46.0,93
NZ_CP009618.1,"(417600, 417699)",53.0,67
NZ_CP009618.1,"(417700, 417799)",49.0,66
NZ_CP009618.1,"(417800, 417899)",60.0,75
NZ_CP009618.1,"(417900, 417999)",53.0,85
NZ_CP009618.1,"(418000, 418099)",46.0,63
NZ_CP009618.1,"(418100, 418199)",43.0,70
NZ_CP009618.1,"(418200, 418299)",54.0,65
NZ_CP009618.1,"(418300, 418399)",47.0,82
NZ_CP009618.1,"(418400, 418499)",51.0,73
NZ_CP009618.1,"(418500, 418599)",51.0,78
NZ_CP009618.1,"(418600, 418699)",48.0,63
NZ_CP009618.1,"(418700, 418799)",50.0,79
NZ_CP009618.1,"(418800, 418899)",46.0,85
NZ_CP009618.1,"(418900, 418999)",51.0,75
NZ_CP009618.1,"(419000, 419099)",52.0,79
NZ_CP009618.1,"(419100, 419199)",50.0,68
NZ_CP009618.1,"(419200, 419299)",53.0,68
NZ_CP009618.1,"(419300, 419399)",51.0,70
NZ_CP009618.1,"(419400, 419499)",47.0,75
NZ_CP009618.1,"(419500, 419599)",56.0,82
NZ_CP009618.1,"(419600, 419699)",43.0,94
NZ_CP009618.1,"(419700, 419799)",41.0,88
NZ_CP009618.1,"(419800, 419899)",52.0,69
NZ_CP009618.1,"(419900, 419999)",45.0,99
NZ_CP009618.1,"(420000, 420099)",35.0,94
NZ_CP009618.1,"(420100, 420199)",47.0,93
NZ_CP009618.1,"(420200, 420299)",42.0,78
NZ_CP009618.1,"(420300, 420399)",44.0,81
NZ_CP009618.1,"(420400, 420499)",48.0,91
NZ_CP009618.1,"(420500, 420599)",35.0,92
